distribution	n	data
uniform	1	0.38907137513160706
uniform	2	0.5830607181414962
uniform	3	0.09466568869538605
uniform	4	0.8526312301401049
uniform	5	0.7867467580363154
uniform	6	0.1193422602955252
uniform	7	0.606446994934231
uniform	8	0.08095690701156855
uniform	9	0.39077241672202945
uniform	10	0.6194723921362311
uniform	11	0.2856888242531568
uniform	12	0.5511227403767407
uniform	13	0.030145584605634212
uniform	14	0.9875201215036213
uniform	15	0.10261498996987939
uniform	16	0.7872129417955875
uniform	17	0.16658469289541245
uniform	18	0.8212559469975531
uniform	19	0.1311419454868883
uniform	20	0.06998445093631744
uniform	21	0.9074912974610925
uniform	22	0.6338010153267533
uniform	23	0.5532897720113397
uniform	24	0.3420863796491176
uniform	25	0.8260702986735851
uniform	26	0.8195140731986612
uniform	27	0.5684927448164672
uniform	28	0.6196068204008043
uniform	29	0.8308804726693779
uniform	30	0.458833564305678
uniform	31	0.08649070910178125
uniform	32	0.22547762538306415
uniform	33	0.5272405724972486
uniform	34	0.5838908171281219
uniform	35	0.5400888840667903
uniform	36	0.8690148994792253
uniform	37	0.8162974775768816
uniform	38	0.7765913817565888
uniform	39	0.019023077795282006
uniform	40	0.4353966568596661
uniform	41	0.10961778881028295
uniform	42	0.8051164578646421
uniform	43	0.7399023291654885
uniform	44	0.47268272400833666
uniform	45	0.3595122240949422
uniform	46	0.2866353066638112
uniform	47	0.6156346425414085
uniform	48	0.24587233015336096
uniform	49	0.13023764337413013
uniform	50	0.05529511906206608
uniform	51	0.7396496392320842
uniform	52	0.6514152844902128
uniform	53	0.13420370081439614
uniform	54	0.8721203347668052
uniform	55	0.18812136258929968
uniform	56	0.5967718136962503
uniform	57	0.06008086237125099
uniform	58	0.7560521538835019
uniform	59	0.4495972387958318
uniform	60	0.8340050196275115
uniform	61	0.9914060637820512
uniform	62	0.7781624600756913
uniform	63	0.7261719473171979
uniform	64	0.9427269783336669
uniform	65	0.5711729808244854
uniform	66	0.4951435327529907
uniform	67	0.860047210007906
uniform	68	0.8695920405443758
uniform	69	0.4025268235709518
uniform	70	0.33124960167333484
uniform	71	0.017268873285502195
uniform	72	0.31491778302006423
uniform	73	0.3554947574157268
uniform	74	0.4545040219090879
uniform	75	0.6994668701663613
uniform	76	0.19012020737864077
uniform	77	0.6977030206471682
uniform	78	0.4758750007022172
uniform	79	0.0803813764359802
uniform	80	0.2466762624680996
uniform	81	0.31361237447708845
uniform	82	0.6191977725829929
uniform	83	0.5033902272116393
uniform	84	0.4342041313648224
uniform	85	0.09990145405754447
uniform	86	0.22617465839721262
uniform	87	0.1331596365198493
uniform	88	0.9667081041261554
uniform	89	0.6181651789229363
uniform	90	0.4956810623407364
uniform	91	0.6089098493102938
uniform	92	0.21915415534749627
uniform	93	0.020139429019764066
uniform	94	0.6961701535619795
uniform	95	0.5056608850136399
uniform	96	0.16554664610885084
uniform	97	0.7198064005933702
uniform	98	0.5011969802435488
uniform	99	0.4861489562317729
uniform	100	0.8911192677915096
uniform	101	0.4535630946047604
uniform	102	0.9578737935516983
uniform	103	0.2594693936407566
uniform	104	0.9243764742277563
uniform	105	0.959456326207146
uniform	106	0.47530890884809196
uniform	107	0.642852708697319
uniform	108	0.14143870072439313
uniform	109	0.4733665066305548
uniform	110	0.569571050349623
uniform	111	0.6112630397547036
uniform	112	0.22102468134835362
uniform	113	0.714879019651562
uniform	114	0.28467762586660683
uniform	115	0.10041051986627281
uniform	116	0.8178603609558195
uniform	117	0.6683526288252324
uniform	118	0.013367967447265983
uniform	119	0.28586652246303856
uniform	120	0.9246285301633179
uniform	121	0.17792248050682247
uniform	122	0.8208343349397182
uniform	123	0.8779811945278198
uniform	124	0.0831251407507807
uniform	125	0.8513100766576827
uniform	126	0.95820950018242
uniform	127	0.8651662010233849
uniform	128	0.798216451657936
uniform	129	0.49259008886292577
uniform	130	0.45642555854283273
uniform	131	0.12569956271909177
uniform	132	0.11449929536320269
uniform	133	0.07953895698301494
uniform	134	0.42419866588898003
uniform	135	0.3888457310386002
uniform	136	0.32388086896389723
uniform	137	0.33805763837881386
uniform	138	0.05025010905228555
uniform	139	0.8405360700562596
uniform	140	0.2989815608598292
uniform	141	0.4576778062619269
uniform	142	0.45229961164295673
uniform	143	0.47233475651592016
uniform	144	0.9950027847662568
uniform	145	0.8288679262623191
uniform	146	0.6803520312532783
uniform	147	0.3385100830346346
uniform	148	0.23328989907167852
uniform	149	0.8349718367680907
uniform	150	0.11804018612019718
uniform	151	0.52483462379314
uniform	152	0.7506557125598192
uniform	153	0.7048571470659226
uniform	154	0.903282496612519
uniform	155	0.019469863502308726
uniform	156	0.8296686762478203
uniform	157	0.6687382131349295
uniform	158	0.30091089359484613
uniform	159	0.43635124899446964
uniform	160	0.8161906958557665
uniform	161	0.2601371214259416
uniform	162	0.19565430423244834
uniform	163	0.8377612812910229
uniform	164	0.40849562524817884
uniform	165	0.10961590730585158
uniform	166	0.4360729728359729
uniform	167	0.5339586120098829
uniform	168	0.546265184879303
uniform	169	0.11427665734663606
